room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price
19142412,104671338,Entire home/apt,Penha de FranÌ¤a,0,0,5,2,80
19147754,133878061,Private room,Benfica,0,0,16,5,58
19148431,26864642,Entire home/apt,Avenidas Novas,0,0,3,1,40
19149394,743167,Entire home/apt,Santa Maria Maior,0,0,8,3,143
19150474,7564916,Private room,Avenidas Novas,0,0,2,1,28
19150634,133884885,Entire home/apt,Estrela,0,0,9,4,219
19151441,133888180,Private room,Estrela,0,0,2,1,45
19151492,86054093,Entire home/apt,Olivais,0,0,6,4,153
19151591,13522323,Entire home/apt,Santa Maria Maior,0,0,2,1,64
19153552,106149355,Private room,SÌ£o Domingos de Benfica,0,0,2,1,58
19154598,28621314,Entire home/apt,Santo AntÌ_nio,0,0,6,2,109
19154744,106149355,Private room,SÌ£o Domingos de Benfica,0,0,2,1,58
19155062,103885214,Private room,MisericÌ_rdia,0,0,2,1,52
19155404,103885214,Private room,MisericÌ_rdia,0,0,2,1,52
19155758,106149355,Private room,SÌ£o Domingos de Benfica,0,0,1,1,35
19155759,106149355,Private room,SÌ£o Domingos de Benfica,0,0,1,1,35
19156243,106149355,Private room,SÌ£o Domingos de Benfica,0,0,1,1,35
19156245,106149355,Private room,SÌ£o Domingos de Benfica,0,0,1,1,35
19156607,3596228,Private room,Santa Maria Maior,0,0,2,1,45
19156732,106149355,Private room,SÌ£o Domingos de Benfica,0,0,1,1,46
19156733,106149355,Private room,SÌ£o Domingos de Benfica,0,0,2,1,69
19157531,106149355,Private room,Alvalade,0,0,2,1,58
19158118,106149355,Private room,Alvalade,0,0,2,1,58
19158268,103829346,Entire home/apt,Santa Maria Maior,0,0,8,4,114
19161197,133985531,Entire home/apt,Lumiar,0,0,3,1,29
19161203,37385021,Entire home/apt,Arroios,1,0,5,2,29
19161283,94533761,Private room,Alvalade,1,0,2,1,40
19161329,125887002,Entire home/apt,Lumiar,0,0,4,1,69
19162604,133798930,Entire home/apt,AlcÌ¢ntara,0,0,6,3,69
19166270,64617488,Entire home/apt,MisericÌ_rdia,0,0,10,5,180
19166588,3680667,Entire home/apt,SÌ£o Vicente,0,0,3,1,93
19167049,8621456,Private room,Santo AntÌ_nio,0,0,2,1,103
19167084,76142556,Private room,Santo AntÌ_nio,0,0,2,1,35
19167379,61091982,Entire home/apt,Estrela,0,0,2,0,64
19167653,1969293,Entire home/apt,Santo AntÌ_nio,0,0,6,2,98
19168022,70305938,Entire home/apt,Arroios,0,0,6,2,127
19168182,106149355,Private room,Alvalade,0,0,2,1,52
19168573,106149355,Private room,Alvalade,0,0,1,1,35
19168938,106149355,Private room,Alvalade,0,0,2,1,64
19169158,134051857,Entire home/apt,MisericÌ_rdia,0,0,4,2,138
19169640,106149355,Private room,Avenidas Novas,0,0,2,1,58
19169646,106149355,Private room,Avenidas Novas,0,0,1,1,35
19170292,106149355,Private room,Avenidas Novas,0,0,2,1,58
19170409,1756107,Entire home/apt,Avenidas Novas,0,0,4,1,79
19170456,106149355,Private room,Avenidas Novas,0,0,2,1,58
